iter	Passed	Remaining
0	91	91815
1	94	47257
2	99	32916
3	102	25565
4	105	20908
5	107	17758
6	115	16313
7	117	14572
8	120	13270
9	122	12158
10	128	11520
11	130	10748
12	133	10143
13	135	9560
14	137	9045
15	141	8726
16	144	8363
17	149	8160
18	154	7954
19	157	7699
20	159	7423
21	161	7161
22	163	6931
23	165	6711
24	169	6594
25	171	6419
26	174	6284
27	176	6125
28	178	5977
29	180	5845
30	184	5773
31	186	5645
32	188	5526
33	190	5414
34	192	5305
35	194	5207
36	198	5168
37	200	5085
38	203	5005
39	205	4924
40	207	4850
41	209	4780
42	212	4731
43	214	4664
44	216	4597
45	218	4533
46	220	4471
47	222	4412
48	225	4366
49	227	4317
50	229	4268
51	231	4219
52	233	4175
53	235	4133
54	239	4116
55	241	4073
56	243	4032
57	245	3988
58	247	3946
59	249	3908
60	251	3867
61	254	3852
62	256	3816
63	258	3781
64	262	3772
65	264	3742
66	266	3710
67	269	3694
68	271	3664
69	273	3633
70	275	3604
71	277	3575
72	279	3546
73	281	3519
74	284	3512
75	287	3493
76	289	3468
77	291	3445
78	294	3430
79	296	3406
80	299	3396
81	301	3374
82	302	3343
83	305	3326
84	308	3320
85	311	3305
86	315	3310
87	318	3298
88	320	3282
89	322	3264
90	324	3246
91	328	3241
92	330	3222
93	332	3204
94	334	3184
95	337	3174
96	339	3163
97	342	3148
98	345	3146
99	348	3138
100	351	3125
101	353	3112
102	355	3097
103	361	3114
104	363	3102
105	367	3096
106	371	3096
107	375	3101
108	377	3088
109	381	3089
110	384	3080
111	387	3069
112	389	3060
113	395	3072
114	397	3061
115	399	3047
116	403	3045
117	406	3039
118	408	3027
119	411	3014
120	413	3004
121	416	2997
122	419	2992
123	422	2985
124	425	2978
125	427	2968
126	429	2954
127	433	2954
128	435	2943
129	438	2935
130	440	2924
131	443	2914
132	445	2904
133	448	2896
134	450	2885
135	452	2874
136	454	2865
137	458	2866
138	463	2868
139	466	2867
140	469	2859
141	470	2845
142	511	3065
143	516	3072
144	554	3267
145	560	3278
146	563	3272
147	566	3261
148	571	3263
149	610	3457
150	612	3445
151	615	3434
152	653	3619
153	657	3610
154	659	3597
155	662	3584
156	665	3571
157	667	3558
158	672	3559
159	675	3548
160	677	3529
161	679	3515
162	682	3502
163	684	3491
164	689	3489
165	692	3480
166	695	3470
167	712	3526
168	715	3517
169	719	3515
170	722	3503
171	725	3493
172	728	3483
173	735	3489
