iter	Passed	Remaining
0	2	241
1	4	234
2	7	235
3	9	235
4	12	231
5	14	227
6	16	222
7	18	216
8	20	210
9	23	213
10	26	211
11	28	208
12	30	204
13	32	201
14	34	198
15	37	194
16	40	196
17	42	192
18	43	187
19	45	182
20	47	178
21	49	174
22	50	168
23	51	163
24	54	162
25	55	157
26	56	153
27	57	148
28	59	144
29	60	140
30	61	136
31	62	132
32	63	128
33	64	124
34	65	121
35	66	117
36	67	114
37	68	112
38	70	109
39	71	106
40	72	103
41	72	100
42	73	97
43	74	94
44	75	92
45	76	89
46	77	87
47	78	84
48	79	82
49	80	80
50	81	78
51	82	76
52	84	74
53	85	72
54	86	70
55	87	68
56	88	66
57	88	64
58	89	62
59	90	60
60	91	58
61	92	56
62	93	55
63	95	53
64	96	51
65	97	50
66	98	48
67	99	46
68	100	45
69	101	43
70	102	42
71	103	40
72	104	38
73	105	37
74	106	35
75	107	34
76	108	32
77	109	30
78	110	29
79	112	28
80	113	26
81	114	25
82	115	23
83	116	22
84	117	20
85	118	19
86	119	17
87	120	16
88	121	15
89	122	13
90	123	12
91	124	10
92	125	9
93	127	8
94	128	6
95	129	5
96	130	4
97	131	2
98	132	1
99	133	0
